Flight ID,Engine,TOW (kg),TOW2_OpenAP (kg),Fuel Burnt (kg) ,Fuel Burnt OpenAP (kg),Total Dust (g),Total Dust OPENAP (g),takeoff,climb,cruise,step climb,descent,landing,unknown
2022_03_01_0046_896452_UAE867_B77W_A6-EQC,GE90-115B,213687.29,215040.19,5087.29,6440.185924378963,2.831032872714128,3.266701964171562,36.47,419.88,655.79,0.0,1024.44,0.0,13.54
2022_03_01_0051_896307_UAE836_B77W_A6-ENE,GE90-115B,215313.57,217075.89,6713.57,8475.886440313065,3.7654690577471803,4.44462256561196,32.31,556.18,758.14,0.0,1746.27,0.0,66.92
2022_03_01_0122_8963D4_UAE854_B77W_A6-EPE,GE90-115B,218777.91,221003.85,10177.91,12403.854713050832,2.3779526011222076,3.3329571599963668,25.4,856.71,1596.26,0.0,1708.79,0.0,168.3
2022_03_01_0226_8963DD_UAE2816_B77W_A6-EPN,GE90-115B,219293.79,220586.81,10693.79,11986.811922986555,7.596193635680466,7.201385687582509,0.0,903.51,1807.83,0.0,1931.08,0.0,59.31
2022_03_01_0333_896309_UAE2819_B77W_A6-ENG,GE90-115B,219889.89,224810.63,11289.89,16210.634536018111,5.236245455904012,7.48492890412468,40.02,704.81,3002.37,0.0,1493.72,0.0,106.34
2022_03_01_0410_8963D2_UAE2827_B77W_A6-EPC,GE90-115B,215916.8,219306.37,7316.8,10706.374370746136,3.147120050245657,3.4510203365346075,31.92,508.46,1517.01,0.0,1349.32,0.0,72.32
2022_03_01_0513_06A13B_QTR24W_B77W_A7-BAY,GE90-115B,217236.85,218187.04,8636.85,9587.037336599675,2.6946258267586467,2.5173398103354323,49.92,750.6,1140.26,0.0,1435.79,0.0,30.29
2022_03_01_0530_8960D6_UAE9130_B77W_A6-EBO,GE90-115B,210482.11,210852.85,1882.11,2252.8515857910274,2.5052375949103243,3.5159081374625636,28.31,121.41,256.21,0.0,447.85,0.0,59.23
2022_03_01_0652_8963D2_UAE2828_B77W_A6-EPC,GE90-115B,216268.89,218422.63,7668.89,9822.62848874743,3.1100689739534824,3.345369109567166,24.39,627.88,1260.13,0.0,1272.94,0.0,120.43
2022_03_01_0719_896309_UAE2820_B77W_A6-ENG,GE90-115B,219103.23,222528.71,10503.23,13928.706195077339,7.164516782100616,6.87407913799625,0.0,823.27,2038.86,0.0,1753.77,0.0,254.33
2022_03_01_0737_70605A_KAC681_B77W_9K-AOH,GE90-115B,218559.4,220782.35,9959.4,12182.346270801161,1.2691891601591607,1.442560561364515,20.73,806.19,1835.82,0.0,1523.69,0.0,62.35
2022_03_01_0823_06A13B_QTR04F_B77W_A7-BAY,GE90-115B,217291.47,217823.19,8691.47,9223.19132565585,1.4066849522451297,1.6374960295775007,32.56,790.78,1137.66,0.0,1257.35,0.0,108.9
2022_03_01_1037_896314_UAE857_B77W_A6-ENR,GE90-115B,219634.85,222080.29,11034.85,13480.286298917359,1.7947669268375674,1.9864174709380757,39.64,820.37,2306.89,0.0,1565.17,0.0,89.2
2022_03_01_1217_706057_KAC683_B77W_9K-AOD,GE90-115B,220334.97,220314.27,11734.97,11714.274413107147,1.8093193397008778,1.9378880055313878,27.35,1151.04,1229.44,0.0,1756.08,0.0,160.37
2022_03_01_1233_896118_UAE839_B77W_A6-ECQ,GE90-115B,215885.78,217955.44,7285.78,9355.439941779714,1.6372257955805232,1.7244356248973747,37.2,572.66,1267.88,0.0,1112.39,0.0,105.59
2022_03_01_1421_896314_UAE858_B77W_A6-ENR,GE90-115B,219357.26,220213.37,10757.26,11613.368287782745,1.955947764916143,1.8847819389066216,31.47,952.18,1391.91,0.0,2068.38,0.0,57.38
2022_03_01_1502_896118_UAE840_B77W_A6-ECQ,GE90-115B,215781.54,217185.14,7181.54,8585.140386692276,1.8706145264614589,1.8111130475004709,17.77,635.81,971.3,0.0,1323.86,0.0,38.8
2022_03_01_1514_706057_KAC684_B77W_9K-AOD,GE90-115B,219825.71,221564.77,11225.71,12964.769706259118,1.4076440232923602,1.7187265367452687,29.92,882.37,2168.1,0.0,1618.7,0.0,123.85
2022_03_01_1706_8963E1_UAE859_B77W_A6-EPR,GE90-115B,219736.1,221566.81,11136.1,12966.806045018404,1.5573897530548915,1.8064816461962332,40.62,838.95,2320.77,0.0,1516.67,0.0,45.94
2022_03_01_1729_896454_UAE2821_B77W_A6-EQE,GE90-115B,216217.43,218821.6,7617.43,10221.597949767292,1.3588980275678115,1.7736580688586228,36.62,577.34,1380.84,0.0,1305.43,0.0,92.81
2022_03_01_1734_8963DA_UAE2818_B77W_A6-EPK,GE90-115B,219684.56,221426.2,11084.56,12826.203166640891,5.443836896141425,4.301609002691658,0.0,954.59,1835.44,0.0,1747.26,0.0,217.17
2022_03_01_2019_896454_UAE2822_B77W_A6-EQE,GE90-115B,216021.92,218406.82,7421.92,9806.821165126046,4.441954901177067,3.8457426429789088,35.88,619.77,1076.62,0.0,1352.54,0.0,39.12
2022_03_01_2051_8963E1_UAE860_B77W_A6-EPR,GE90-115B,219343.2,220328.81,10743.2,11728.806334448254,3.330871152944687,3.1145721143204743,35.24,915.21,1740.97,0.0,1569.55,0.0,52.35
2022_03_01_2149_8964A7_UAE853_B77W_A6-EQO,GE90-115B,219387.28,221727.63,10787.28,13127.63269390184,2.135918502423937,3.0751999361127766,42.6,834.38,1991.44,0.0,1720.05,0.0,124.87
2022_03_01_2228_8963D9_UAE866_B77W_A6-EPJ,GE90-115B,214255.49,215052.55,5655.49,6452.549772971306,1.003730289874657,1.099465583131945,38.1,475.28,725.2,0.0,1016.92,0.0,90.03
2022_03_01_2229_8963DD_UAE2815_B77W_A6-EPN,GE90-115B,220222.31,223256.43,11622.31,14656.433176115945,3.8711945099662746,6.91177581485296,34.05,755.75,3106.69,0.0,1316.53,0.0,73.94
2022_03_01_2232_896312_UAE835_B77W_A6-ENP,GE90-115B,215887.09,218169.02,7287.09,9569.023496162652,1.3340280096236652,1.769808050721905,33.44,546.05,1390.23,0.0,1214.19,0.0,47.81
2022_03_02_0043_8963D9_UAE867_B77W_A6-EPJ,GE90-115B,214026.13,215322.42,5426.13,6722.417491025334,1.884954907585284,1.7178155269852486,0.0,500.52,306.0,0.0,1971.09,0.0,33.08
2022_03_02_0056_896312_UAE836_B77W_A6-ENP,GE90-115B,215654.92,217472.02,7054.92,8872.024081918556,4.542147084873973,3.977554008595015,27.62,530.92,1190.26,0.0,1527.91,0.0,99.49
2022_03_02_0057_8964A7_UAE854_B77W_A6-EQO,GE90-115B,218003.66,219811.13,9403.66,11211.13463206874,4.808821142980534,3.9260175499287957,37.4,718.13,1887.94,0.0,1300.09,0.0,44.75
2022_03_02_0212_8963DD_UAE2816_B77W_A6-EPN,GE90-115B,219100.55,220294.16,10500.55,11694.162496330573,4.8562893327774015,4.1283664773528255,0.0,864.24,2024.06,0.0,1583.07,0.0,27.3
2022_03_02_0405_8964A4_UAE2819_B77W_A6-EQL,GE90-115B,220189.68,222906.83,11589.68,14306.834007765614,2.335403727371912,3.4633990004188426,41.56,845.91,2620.88,0.0,1390.11,0.0,48.16
2022_03_02_0422_8963E2_UAE2827_B77W_A6-EPS,GE90-115B,216318.99,219000.98,7718.99,10400.984558227905,3.017941827940991,4.312920337165427,42.34,566.46,1390.2,0.0,1507.39,0.0,54.45
2022_03_02_0655_8963E2_UAE2828_B77W_A6-EPS,GE90-115B,216359.02,218345.8,7759.02,9745.799683841024,8.503950720929648,7.050003404544005,38.29,617.46,1208.57,0.0,1513.08,0.0,54.84
2022_03_02_0723_8964A4_UAE2820_B77W_A6-EQL,GE90-115B,220905.08,222434.8,12305.08,13834.800600742205,5.224810299248187,4.650509489253481,0.0,1041.51,1974.12,0.0,2353.29,0.0,166.43
2022_03_02_1041_896310_UAE857_B77W_A6-ENN,GE90-115B,220180.9,221899.52,11580.9,13299.523478328645,4.210683302805156,6.259970413241242,13.39,883.89,2576.9,0.0,1413.45,0.0,97.93
2022_03_02_1215_70605F_KAC683_B77W_9K-AOM,GE90-115B,219145.85,220461.42,10545.85,11861.418182510937,8.082576077088296,7.348231422352774,31.03,972.99,1117.86,0.0,2115.9,0.0,131.02
2022_03_02_1222_896108_UAE839_B77W_A6-ECA,GE90-115B,215680.93,217676.45,7080.93,9076.451944571103,3.0118491616295393,4.5214442780947275,35.2,545.68,1232.84,0.0,1179.33,0.0,129.66
2022_03_02_1351_89621B_UAE2817_B77W_A6-EGZ,GE90-115B,220543.99,222632.85,11943.99,14032.853810049946,5.06948245224802,8.086425776406653,41.82,864.56,2619.52,0.0,1635.55,0.0,126.86
2022_03_02_1411_896310_UAE858_B77W_A6-ENN,GE90-115B,219079.66,220249.85,10479.66,11649.849539791045,10.74824997355883,8.10330214192334,5.92,977.29,1433.32,0.0,1651.81,0.0,51.77
