Flight ID,Engine,TOW (kg),TOW2_OpenAP (kg),Fuel Burnt (kg) ,Fuel Burnt OpenAP (kg),takeoff,climb,cruise,step climb,descent,landing,unknown
2022_01_01_1235_3C64F4__A343_D-AIGT,CFM56-5C3,273190.58,172445.49,116190.58,15445.492563364138,64.0,1896.0,33260.0,0.0,1596.0,0.0,128.0
2022_01_01_1418_3C656F__A333_D-AIKO,Trent 772,179816.88,172038.18,30036.88,22258.1811628527,40.0,1792.0,12336.0,0.0,1680.0,0.0,136.0
2022_01_01_2305_3C656F__A333_D-AIKO,Trent 772,182730.16,175404.33,32950.16,25624.332163103376,0.0,1364.0,15508.0,0.0,2180.0,0.0,108.0
2022_01_02_0147_3C64F4__A343_D-AIGT,CFM56-5C3,259349.51,169348.31,102349.51,12348.309135460237,0.0,1728.0,29276.0,0.0,1564.0,0.0,200.0
2022_01_02_1147_3C656F__A333_D-AIKO,Trent 772,208412.83,200594.85,58632.83,50814.852098638075,24.0,2088.0,29080.0,0.0,2328.0,0.0,244.0
2022_01_02_1645_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157073.33,122382.7,73.33169869711857,40.0,1972.0,35056.0,0.0,1736.0,0.0,472.0
2022_01_02_2330_3C656F__A333_D-AIKO,Trent 772,194086.12,184548.84,44306.12,34768.84463452318,20.0,1624.0,21792.0,4.0,1844.0,0.0,148.0
2022_01_03_0616_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157102.74,134942.12,102.74026265397083,56.0,2144.0,38712.0,0.0,1884.0,0.0,312.0
2022_01_03_1002_3C656F__A333_D-AIKO,Trent 772,215195.8,205616.68,65415.8,55836.67906613893,20.0,2500.0,32240.0,0.0,1672.0,0.0,284.0
2022_01_03_2125_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157051.32,129251.84,51.320851585250736,28.0,2040.0,37180.0,0.0,1720.0,0.0,136.0
2022_01_03_2309_3C656F__A333_D-AIKO,Trent 772,200644.05,190441.15,50864.05,40661.14698489873,16.0,2364.0,23608.0,4.0,1604.0,0.0,264.0
2022_01_04_1641_3C64F4__A343_D-AIGT,CFM56-5C3,N/A,157117.31,128847.75,117.30663841023573,64.0,2016.0,37000.0,0.0,1768.0,0.0,260.0
2022_01_05_1251_3C64F4__A343_D-AIGT,CFM56-5C3,275277.31,173225.78,118277.31,16225.776244336397,44.0,1996.0,33784.0,0.0,1648.0,0.0,216.0
2022_01_05_1320_3C656F__A333_D-AIKO,Trent 772,179042.48,170936.52,29262.48,21156.515502987873,0.0,1592.0,12632.0,0.0,1620.0,0.0,224.0
2022_01_05_2302_3C656F__A333_D-AIKO,Trent 772,183178.0,175824.88,33398.0,26044.882671398947,0.0,1316.0,16072.0,0.0,1772.0,0.0,124.0
