Flight ID,Engine,TOW (kg),TOW2_OpenAP (kg),Fuel Burnt (kg) ,Fuel Burnt OpenAP (kg),Total Dust (g),Total Dust OPENAP (g),takeoff,climb,cruise,step climb,descent,landing,unknown
2022_03_01_0046_896452_UAE867_B77W_A6-EQC,GE90-115B,213687.29,215040.19,5087.29,6440.185924378963,1.415516436357064,1.633350982085781,36.47,419.88,655.79,0.0,1024.44,0.0,13.54
2022_03_01_0051_896307_UAE836_B77W_A6-ENE,GE90-115B,215313.57,217075.89,6713.57,8475.886440313065,1.8827345288735902,2.22231128280598,32.31,556.18,758.14,0.0,1746.27,0.0,66.92
2022_03_01_0122_8963D4_UAE854_B77W_A6-EPE,GE90-115B,218777.91,221003.85,10177.91,12403.854713050832,1.1889763005611038,1.6664785799981834,25.4,856.71,1596.26,0.0,1708.79,0.0,168.3
2022_03_01_0226_8963DD_UAE2816_B77W_A6-EPN,GE90-115B,219293.79,220586.81,10693.79,11986.811922986555,3.798096817840233,3.6006928437912546,0.0,903.51,1807.83,0.0,1931.08,0.0,59.31
2022_03_01_0333_896309_UAE2819_B77W_A6-ENG,GE90-115B,219889.89,224810.63,11289.89,16210.634536018111,2.618122727952006,3.74246445206234,40.02,704.81,3002.37,0.0,1493.72,0.0,106.34
2022_03_01_0410_8963D2_UAE2827_B77W_A6-EPC,GE90-115B,215916.8,219306.37,7316.8,10706.374370746136,1.5735600251228286,1.7255101682673037,31.92,508.46,1517.01,0.0,1349.32,0.0,72.32
2022_03_01_0513_06A13B_QTR24W_B77W_A7-BAY,GE90-115B,217236.85,218187.04,8636.85,9587.037336599675,1.3473129133793234,1.2586699051677162,49.92,750.6,1140.26,0.0,1435.79,0.0,30.29
2022_03_01_0530_8960D6_UAE9130_B77W_A6-EBO,GE90-115B,210482.11,210852.85,1882.11,2252.8515857910274,1.2526187974551621,1.7579540687312818,28.31,121.41,256.21,0.0,447.85,0.0,59.23
2022_03_01_0652_8963D2_UAE2828_B77W_A6-EPC,GE90-115B,216268.89,218422.63,7668.89,9822.62848874743,1.5550344869767412,1.672684554783583,24.39,627.88,1260.13,0.0,1272.94,0.0,120.43
2022_03_01_0719_896309_UAE2820_B77W_A6-ENG,GE90-115B,219103.23,222528.71,10503.23,13928.706195077339,3.582258391050308,3.437039568998125,0.0,823.27,2038.86,0.0,1753.77,0.0,254.33
2022_03_01_0737_70605A_KAC681_B77W_9K-AOH,GE90-115B,218559.4,220782.35,9959.4,12182.346270801161,0.6345945800795804,0.7212802806822575,20.73,806.19,1835.82,0.0,1523.69,0.0,62.35
2022_03_01_0750_89617F_UAE9126_B77W_A6-EGG,GE90-115B,211583.56,211227.47,2983.56,2627.471378693581,3.904870631146479,3.094921926301817,25.38,304.62,89.09,0.0,429.68,0.0,208.01
