Flight ID,Engine,TOW (kg),TOW2_OpenAP (kg),Fuel Burnt (kg) ,Fuel Burnt OpenAP (kg),Total Dust (g),Total Dust OPENAP (g),takeoff,climb,cruise,step climb,descent,landing,unknown
2022_01_01_1235_3C64F4__A343_D-AIGT,CFM56-5C3,273190.58,172446.52,116190.58,15446.524134035431,0.010861542472482211,0.003140494923853763,64.0,1896.0,33260.0,0,1596.0,0.0,128.0
2022_01_01_1418_3C656F__A333_D-AIKO,Trent 772,179816.88,172037.8,30036.88,22257.80421138172,0.07029085028182326,0.05838618970509589,40.0,1792.0,12336.0,0,1680.0,0.0,136.0
2022_01_01_2305_3C656F__A333_D-AIKO,Trent 772,182730.16,175404.49,32950.16,25624.486320777694,0.30393177556785583,0.25283234753489636,0.0,1364.0,15508.0,0,2180.0,0.0,108.0
2022_01_02_0147_3C64F4__A343_D-AIGT,CFM56-5C3,259349.51,169350.06,102349.51,12350.064544713334,0.05069077250959144,-0.009727989361270395,0.0,1728.0,29276.0,0,1564.0,0.0,200.0
2022_01_02_1147_3C656F__A333_D-AIKO,Trent 772,208412.83,200597.49,58632.83,50817.48967552247,0.06539435071257309,0.05628467172974864,24.0,2088.0,29080.0,0,2328.0,0.0,244.0
2022_01_02_1645_3C64F4__A343_D-AIGT,CFM56-5C3,276000.0,173208.68,122382.7,16208.676407074,0.011181664827076325,0.0013192262544425943,40.0,1972.0,35056.0,0,1736.0,0.0,472.0
2022_01_02_2330_3C656F__A333_D-AIKO,Trent 772,194068.04,184547.05,44288.04,34767.05026736324,0.08785065298439494,0.05892248025112313,20.0,1624.0,21792.0,0,1844.0,0.0,152.0
2022_01_03_0616_3C64F4__A343_D-AIGT,CFM56-5C3,276000.0,173575.43,134942.12,16575.42702211646,0.015747233489869072,0.0038762534555037754,56.0,2144.0,38712.0,0,1884.0,0.0,312.0
2022_01_03_1002_3C656F__A333_D-AIKO,Trent 772,215195.8,205616.18,65415.8,55836.176497167224,0.00414699010483383,0.0037642753782973068,20.0,2500.0,32240.0,0,1672.0,0.0,284.0
2022_01_03_2125_3C64F4__A343_D-AIGT,CFM56-5C3,276000.0,173965.47,129251.84,16965.47493116922,0.02350228830308034,-0.0025278236518312216,28.0,2040.0,37180.0,0,1720.0,0.0,136.0
2022_01_03_2309_3C656F__A333_D-AIKO,Trent 772,200625.97,190441.72,50845.97,40661.719332766974,0.002746279245353675,0.0021872925889557565,16.0,2364.0,23608.0,0,1604.0,0.0,268.0
2022_01_04_1641_3C64F4__A343_D-AIGT,CFM56-5C3,276000.0,173916.22,128847.75,16916.216841777903,0.0465988681848443,0.009430557959988511,64.0,2016.0,37000.0,0,1768.0,0.0,260.0
2022_01_05_1251_3C64F4__A343_D-AIGT,CFM56-5C3,275277.31,173226.26,118277.31,16226.25815056208,0.002212968938232102,0.00019605429088607088,44.0,1996.0,33784.0,0,1648.0,0.0,216.0
2022_01_05_1320_3C656F__A333_D-AIKO,Trent 772,179042.48,170938.45,29262.48,21158.450585811406,0.0009523070614766286,0.0007691929260939729,0.0,1592.0,12632.0,0,1620.0,0.0,224.0
2022_01_05_2302_3C656F__A333_D-AIKO,Trent 772,183178.0,175827.47,33398.0,26047.474206614777,0.0011955756784598945,0.0008019737750252,0.0,1316.0,16072.0,0,1772.0,0.0,124.0
2022_01_06_0236_3C64F4__A343_D-AIGT,CFM56-5C3,256470.02,169201.18,99470.02,12201.17663725849,0.003394338982103976,0.00047953796469431514,0.0,1772.0,28332.0,0,1460.0,0.0,184.0
2022_01_06_1013_3C656F__A333_D-AIKO,Trent 772,204815.94,196799.6,55035.94,47019.601961011685,0.0010948250770148286,0.0009938511975377457,0.0,1953.0,27484.0,0,2032.0,0.0,152.0
2022_01_06_1755_3C64F4__A343_D-AIGT,CFM56-5C3,276000.0,174250.52,127468.89,17250.51563519028,0.0022270282765523303,0.0001179418924293205,64.0,1852.0,36816.0,0,1676.0,0.0,252.0
