Flight ID,Engine,TOW (kg),TOW2_OpenAP (kg),Fuel Burnt (kg) ,Fuel Burnt OpenAP (kg),Total Dust (g),Total Dust OPENAP (g),takeoff,climb,cruise,step climb,descent,landing,unknown
2022_01_01_1235_3C64F4__A343_D-AIGT,CFM56-5C3,245871.52,152286.53,116190.58,12207.252566556072,0.009874129520438374,0.002698885335533879,64.0,1896.0,33260.0,0,1596.0,0.0,128.0
2022_01_01_1418_3C656F__A333_D-AIKO,Trent 772,161835.19,153392.36,30036.88,20655.955506928498,0.0639007729834757,0.04836819641727442,40.0,1792.0,12336.0,0,1680.0,0.0,136.0
2022_01_01_2305_3C656F__A333_D-AIKO,Trent 772,164457.14,156173.55,32950.16,23746.171228840234,0.2763016141525962,0.20604576807685182,0.0,1364.0,15508.0,0,2180.0,0.0,108.0
2022_01_02_0147_3C64F4__A343_D-AIGT,CFM56-5C3,233414.56,150094.38,102349.51,9771.535239818568,0.046082520463264935,0.0005106740402991981,0.0,1728.0,29276.0,0,1564.0,0.0,200.0
2022_01_02_1147_3C656F__A333_D-AIKO,Trent 772,187571.55,177093.04,58632.83,46990.042811683976,0.059449409738702795,0.047227733646215526,24.0,2088.0,29080.0,0,2328.0,0.0,244.0
2022_01_02_1645_3C64F4__A343_D-AIGT,CFM56-5C3,251444.43,153169.52,122382.7,13188.351669269994,0.010165149842796657,0.0013662072962373586,40.0,1972.0,35056.0,0,1736.0,0.0,472.0
2022_01_02_2330_3C656F__A333_D-AIKO,Trent 772,174661.24,163543.12,44288.04,31934.579880574194,0.07986422998581358,0.04952118545239927,20.0,1624.0,21792.0,0,1844.0,0.0,152.0
2022_01_03_0616_3C64F4__A343_D-AIGT,CFM56-5C3,262747.91,154917.08,134942.12,15130.090045158624,0.01431566680897188,0.0034743445994030167,56.0,2144.0,38712.0,0,1884.0,0.0,312.0
2022_01_03_1002_3C656F__A333_D-AIKO,Trent 772,193676.22,181087.51,65415.8,51428.34278736441,0.0037699910043943905,0.0032571038877238392,20.0,2500.0,32240.0,0,1672.0,0.0,284.0
2022_01_03_2125_3C64F4__A343_D-AIGT,CFM56-5C3,257626.66,154688.84,129251.84,14876.492865728938,0.021365716639163944,0.0013721011303755946,28.0,2040.0,37180.0,0,1720.0,0.0,136.0
2022_01_03_2309_3C656F__A333_D-AIKO,Trent 772,180563.37,168587.42,50845.97,37539.3527444802,0.0024966174957760682,0.0018507279180341124,16.0,2364.0,23608.0,0,1604.0,0.0,268.0
2022_01_04_1641_3C64F4__A343_D-AIGT,CFM56-5C3,257262.97,154698.88,128847.75,14887.647270674825,0.04236260744076754,0.007710041190283285,64.0,2016.0,37000.0,0,1768.0,0.0,260.0
